source,num_exts,num_uniq_exts,percent_uniq_exts,total_exts,total_uniq_exts,added_uniq_exts
wikidata,7628,2357,30.89931830099633,7628,7628,7628
trid,3907,495,12.669567443050934,11535,8236,608
ffw,3766,677,17.976633032395114,15301,8986,750
pronom,1678,79,4.707985697258641,16979,9076,90
githublinguist,1414,588,41.584158415841586,18393,9676,600
tika,1174,258,21.976149914821125,19567,9936,260
fdd,487,51,10.472279260780287,20054,9987,51
